Category,Year,nid,Winners,Image_URL,Caption
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_002.jpeg,"Mckenzie Trahan, 22, and her boyfriend Eddie, 26, sit under a tarp in a Hollywood alley. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_003.jpeg,"Eddie, 26, panhandles at a freeway offramp in Hollywood hoping to make money to take out his pregnant girlfriend Mckenzie Trahan on her 23rd birthday. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_004.jpeg,"Tears run down Mckenzie Trahan's face in Hollywood as the 22-year-old talks about the trauma she has experienced in her life. Mckenzie ran away at age 11, started using drugs, and was in and out of juvenile hall and foster care placements. She landed on the streets of Hollywood at 13. As an adult, she racked up three felony convictions for possession of meth for sale and receiving stolen property. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_005.jpeg,"Mckenzie Trahan, 23, looks back toward her boyfriend Eddie, 27, while listening to their baby's heartbeat at White Memorial Gynecological and Obstetrical Medical Group in Los Angeles. Eddie looked down at the ground, eyes closed and head in hand. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_006.jpeg,"Mckenzie Trahan, 23, holds her newborn daughter Ann at Adventist Health White Memorial in Boyle Heights. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_007.jpeg,"Mckenzie Trahan, 23, keeps an eye on her newborn daughter Ann at Adventist Health White Memorial in Boyle Heights. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_008.jpeg,"Mckenzie Trahan, 23, carries baby Ann in her stroller up the stairs to their apartment. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_009.jpeg," Mckenzie Trahan, 23, tenderly bathes her daughter Ann at home in Arlington Heights. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_010.jpeg,"Mckenzie Trahan, 23, gets dressed for a job interview at her apartment in Arlington Heights. A local organization helped provide her with professional attire. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_011.jpeg,"Mckenzie Trahan, 23, sings to her daughter Ann at home in Arlington Heights. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_012.jpeg,"Mckenzie Trahan collects her thoughts while a friend plays with Ann, right. A confidential call came in to the child protection hotline alleging that Mckenzie was neglecting her child. Trahan met with a social worker who investigated the allegations. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_013.jpeg,"Mckenzie Trahan weeps outside of a courtroom in Bellflower, Calif. Trahan was being charged with possession of a gun and drugs after being pulled over in a car with a friend. She pleaded no contest to driving without a license and misdemeanor meth possession, although she said she was unaware the contraband was in her friend’s car. The gun possession charge was later dismissed. She was placed on probation. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_014_0.jpeg,"Soon after Ann was taken, Mckenzie Trahan found herself living back on the street. A visitor peers into Trahan's tent near a Hollywood freeway offramp where Trahan had been living. Trahan's relationship with Ann’s father ended a short while after the baby was born. (Published on July 13, 2022.)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_015.jpeg,"After several months of living back in a tent, Mckenzie Trahan, 23, receives an apartment through a housing program in Los Angeles. Trahan lays on the floor in gratitude. (Published on July 13, 2022.)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_101a.jpeg,"A ‘Naga Sadhu,’ or Hindu holy man, places a mask across his face before entering the Ganges river during the traditional Shahi Snan, or royal dip, at the Kumbh Mela festival in Haridwar, India, April 12, 2021. As COVID-19 cases and deaths exploded in India in April and May, hospitals ran so short of oxygen that many patients suffocated. (Danish Siddiqui)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_102a.jpeg,"A man sits next to his wife, who was suffering from a high fever, as she intravenously receives rehydration fluid at a makeshift clinic during a surge of the coronavirus disease in Parsaul village located in the northern state of Uttar Pradesh, India, May 22, 2021. (Adnan Abidi)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_103a.jpeg,"A healthcare worker administers a dose of CoviShield, a coronavirus disease vaccine, to a shepherd during a vaccination drive in Lidderwat, located in India Kashmir's Anantnag district, June 10, 2021. (Sanna Irshad Mattoo) "
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_104a.jpeg,"A healthcare worker checks the temperature of a woman inside her hut during a coronavirus disease vaccination drive for workers at a brick kiln in Kavitha village on the outskirts of Ahmedabad, India, April 8, 2021. (Amit Dave)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_105a.jpeg,"Manoj Kumar waves a handkerchief from the back seat of his vehicle at his mother Vidhya Devi as she receives oxygen in the parking lot of a Gurudwara (Sikh temple) amidst the spread of the coronavirus disease in Ghaziabad, India, April 24, 2021. (Danish Siddiqui)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_106a.jpeg,"Manisha Bashu presses the chest of her father, who was having difficulty breathing, after he felt unconscious while receiving oxygen support at a Gurudwara (Sikh temple) amidst the spread of coronavirus disease in Ghaziabad, India, April 30, 2021. (Adnan Abidi) "
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_107a.jpeg,"A man grieves as his family member is declared dead outside the coronavirus disease casualty ward at the Guru Teg Bahadur hospital in New Delhi, India, April 23, 2021. (Danish Siddiqui)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_108a.jpeg,"Family members embrace while wearing personal protective equipment as they mourn a male relative, who died from the coronavirus disease, during his cremation ceremony in New Delhi, India April 21, 2021. (Adnan Abidi) "
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_109a.jpeg,"A female patient suffering from the coronavirus disease is attended to by hospital staff inside the emergency ward of the Holy Family hospital in New Delhi, India, April 29, 2021. (Danish Siddiqui)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_110a.jpeg,"Pranav Mishra, 19, kneels toward the body of his mother Mamta Mishra, 45, who died from the coronavirus disease, ahead of her cremation, in New Delhi, India, May 4, 2021. (Danish Siddiqui) "
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_111a.jpeg,"The body of a person, who died from the coronavirus disease, lies on a funeral pyre during a mass cremation at a crematorium in New Delhi, India May 1, 2021. (Adnan Abidi)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_112a.jpeg,"Residences surround the grounds of a crematorium during a mass cremation for victims of the coronavirus disease in New Delhi, India, April 22, 2021. (Danish Siddiqui)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_113a.jpeg,"Ashish Kashyap and Naman Sharma, volunteers at a non-profit organization, carry a bag containing unclaimed ashes of victims who died from the coronavirus disease at a crematorium in New Delhi, India, May 9, 2021. (Adnan Abidi)"
Feature Photography,2022,21685,"Adnan Abidi, Sanna Irshad Mattoo, Amit Dave and the late Danish Siddiqui of Reuters",indias_covid_peak_114a.jpeg,"Urns containing ashes after final rites of people, including those who died from the coronavirus disease, await immersion due to a national lockdown, at a crematorium in New Delhi, India, May 6, 2021. (Danish Siddiqui) "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_001_0.jpg,"Josefa Ribas, 86, who is bedridden, looks at nurse Alba Rodriguez as Ribas’ husband, Jose Marcos, 89, stands by in their home in Barcelona, Spain, March 30, 2020, during the coronavirus outbreak. Ribas suffers from dementia, and Marcos fears for them both if the virus enters their home. ""If I get the virus, who will take care of my wife?"""
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_002_0.jpg,"A woman sits on her balcony in downtown Barcelona, Spain, May 7, 2020. "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_003_0.jpg,"Leopoldo Roman, 85, lies in bed wearing a face mask as he waits for doctors during a home medical visit in Barcelona, Spain, April 3, 2020. Roman, whose leg was amputated years ago, has to pay for daily care out of his pension since the public system only provides for a social worker to come for an hour a day, three days a week. "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_004_0.jpg,"Nurse Marta Fernandez holds up a tablet computer over the chest of 94-year-old Maria Teresa Argullos Bove so that she can speak to her sister, children and grandchildren from her hospital bed at the COVID-19 ward at the hospital del Mar in Barcelona, Spain, Nov. 18, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_005_0.jpg,"A patient infected with coronavirus rests in a chair inside an isolated room at the COVID-19 ward of a public hospital in Barcelona, Spain, Nov. 18, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_006_0.jpg,"Wearing protective suits to prevent infection, mortuary workers move the body of an elderly person who died of COVID-19 from an elevator after removing it from a nursing home in Barcelona, Spain, Nov. 13, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_007.jpg,"Residents look at the street through a window at the Icaria nursing home in Barcelona, Spain, Nov. 25, 2020. "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_008.jpg,"Francisco España, 60, looks at the Mediterranean sea from a promenade next to the “Hospital del Mar” in Barcelona, Spain, Sept. 4, 2020. Francisco spent 52 days in the ICU of the hospital due to an infection of coronavirus and he has being allowed by his doctors on this day to spend almost ten minutes at the seaside as part of a therapy to recover from the ICU. "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_009.jpg,"The body of an elderly person is prepared inside a coffin for her funeral at a morgue in Barcelona, Spain, Nov. 5, 2020"
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_010.jpg,"A woman pushes a cart with her belongings as she walks along an empty street in downtown Barcelona, Spain, March 21, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_011.jpg,"The body of an elderly person who died of COVID-19 is covered with a sheet on her bed in a nursing home in Barcelona, Spain, Nov. 13, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_012.jpg,"A mortuary worker collects the ashes of a COVID-19 victim from an oven after the remains where cremated at Memora mortuary in Girona, Spain, Nov. 19, 2020. "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_013.jpg,"Álvaro Puig Moreno watches television while eating a his Christmas Eve dinner at his home in Barcelona, Spain, Dec. 24, 2020. ""The solitude gets to me these days, I often feel depressed,"" Puig said. ""These holidays, instead of making me happy, make me sad. I hate them. Most of family has died, I am one of the last ones left. I will spend Christmas at home alone because I don't have anyone to spend them with."" "
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_014.jpg,"Mortuary workers take off their protective clothing at the entrance of a building decorated with a Christmas tree, after removing the body of person who is suspected of dying from COVID-19 in Barcelona, Spain, Dec. 23, 2020."
Feature Photography,2021,21268,Emilio Morenatti of Associated Press,spainelderly_015.jpg,"Agustina Cañamero, 81, hugs and kisses her husband Pascual Pérez, 84, through a plastic film screen to avoid contracting the coronavirus at a nursing home in Barcelona, Spain, June 22, 2020. Even when it comes wrapped in plastic, a hug can convey tenderness and relief, love and devotion. The fear that gripped Agustina Cañamero during the 102 days she and her 84-year-old husband spent physically separated during Spain's coronavirus outbreak dissolved the moment the couple embraced through a screen of plastic film."
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_001.jpg,"Kashmiri men dismantle a portion of a house destroyed in a gunbattle in Tral village, south of Srinagar, Indian controlled Kashmir, March 4, 2019. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_002.jpg,"Kashmiri Muslim devotees offer prayer outside the shrine of Sufi saint Sheikh Syed Abdul Qadir Jeelani in Srinagar, Indian controlled Kashmir, Monday, Dec. 9, 2019. (Mukhtar Khan) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_003.jpg,"A masked Kashmiri protester jumps on the bonnet of an armored vehicle of Indian police as he throws stones at it during a protest in Srinagar, Indian controlled Kashmir, Friday, May 31, 2019. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_004_0.jpg,"Masked Kashmiris shout slogans during a protest after Friday prayers on the outskirts of Srinagar, Indian controlled Kashmir, Friday, Oct. 4, 2019. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_005.jpg,"Indian paramilitary soldiers break motorbikes parked outside a college as they clash with students protesting against the alleged rape of a 3-year-old girl in Srinagar, Indian controlled Kashmir, Tuesday, May 14, 2019. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_006.jpg,"Women shout slogans as Indian policemen fire teargas and live ammunition in the air to stop a protest march in Srinagar, Indian controlled Kashmir, Friday, Aug. 9, 2019. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_007.jpg,"Kashmiri Muslim children attend recitation classes of the holy Quran on the first day of fasting month of Ramadan in Srinagar, Indian controlled Kashmir, Tuesday, May 7, 2019. (Mukhtar Khan) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_008_0.jpg,"An Indian Border Security Force (BSF) soldier keeps vigil near the India Pakistan border at Garkhal in Akhnoor, about 35 kilometers (22 miles) west of Jammu, India, Tuesday, Aug.13, 2019. (Channi Anand)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_009.jpg,"A Kashmiri boy tries to take out a bullet out from the wall of a damaged house after a gunbattle in Tral, south of Srinagar, Indian controlled Kashmir, Friday, May 24, 2019. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_010.jpg,"An Indian paramilitary soldier orders a Kashmiri to open his jacket before frisking him during curfew in Srinagar, Indian controlled Kashmir, Aug. 8, 2019. The beautiful Himalayan valley is flooded with soldiers and roadblocks of razor wire. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_011.jpg,"An elderly Kashmiri man sits outside a closed market during a strike in Srinagar, Indian controlled Kashmir, Sunday, Feb. 17, 2019. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_012.jpg,"A Kashmiri man walks on a snow covered footbridge as it snows in the interiors of Dal Lake Srinagar, Indian controlled Kashmir, Friday, Dec. 13, 2019. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_013.jpg,"Six-year-old Muneefa Nazir, a Kashmiri girl whose right eye was hit by a marble ball shot allegedly by Indian Paramilitary soldiers on Aug. 12, stands outside her home in Srinagar, Indian controlled Kashmir, Sept. 17, 2019. (Mukhtar Khan)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_014.jpg,"A wounded woman is carried on a stretcher for treatment after she was injured in a bus accident, at a local hospital in Srinagar, Indian controlled Kashmir, Thursday, June 27, 2019. A minibus carrying students to a picnic fell into a gorge along a Himalayan road in Indian-controlled Kashmir, killing more than 10 and injuring several others. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_015.jpg,"Kashmiri villagers grieve near the body of an 11-year-old boy, Aatif Mir, during his funeral procession in Hajin village, north of Srinagar Indian controlled Kashmir, Friday, March 22, 2019. Indian security forces killed five militants and the 11-year-old hostage in three separate clashes in the Indian-controlled portion of Kashmir. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_016.jpg,"Kashmiri men shout freedom slogans during a protest against New Delhi's tightened grip on the disputed region, after Friday prayers on the outskirts of Srinagar, Indian controlled Kashmir, Friday, Aug. 23, 2019. (Dar Yasin) "
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_017.jpg,"Indian policemen guard as Kashmiri Muslims pray while the head priest, unseen, displays a relic of Islam's Prophet Muhammad at the Hazratbal shrine, on the occasion of the Prophet's birth anniversary in Srinagar, India, Sunday, Nov. 10, 2019. Thousands of Kashmiri Muslims thronged the Hazratbal shrine, which houses a relic believed to be a hair from the beard of Prophet Muhammad. (Mukhtar Khan)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_018.jpg,"A deserted street is seen through barbwire set up as blockade during curfew in Srinagar, Indian controlled Kashmir, Aug. 6, 2019. (Dar Yasin)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_019.jpg,"An Indian paramilitary soldier stands guard as Kashmiri Muslims offer Friday prayers on a street outside a local mosque during curfew like restrictions in Srinagar, India, Friday, Aug. 16, 2019. (Mukhtar Khan)"
Feature Photography,2020,16954,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",kashmirendlesswar_finaledit_pulitzer_020.jpg,"Flames and smoke billow from a residential building where militants are suspected to have taken refuge during a gun battle in Pulwama, south of Srinagar, Indian controlled Kashmir, Monday, Feb. 18, 2019. (Dar Yasin)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal001_0.jpg,"Abdullah Abdul Wahed Mansour, right, stands with his comrades on the front lines of an area called al Zunuj on the north side of the ancient city of Taiz. He lost a leg in a land mine explosion on this front two years ago. The front line that encircles the city has not moved significantly in the past two years. Sporadic gunfire is exchanged, but neither side is seriously pushing to gain territory. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal002_0.jpg,"Taif Fares gasps for air in the intensive-care unit of al-Sadaqa Hospital in Aden, Yemen, on May 21, 2018. She was born with a heart disorder and needed constant care. Taif died few days after this photo was taken. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal003_0.jpg,"A militiaman occupies a frontline position in the al Zunuj area on the northern side of Taiz. The battle lines encircling the city have not moved significantly in the past two years. The two sides exchange sporadic gunfire, but neither is seriously pushing to gain territory. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal004_0.jpg,"A woman walks past a destroyed building in the al Jahmaliya area. The area was heavily damaged during fighting between Houthi rebels and local militias struggling to retake the city. More recently, the area was shaken by fighting among the various militias that now control the city. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal005_0.jpg,"A clinic in Aslam, Yemen, is overcrowded with malnourished children. Mothers and children share beds, and sometimes mattresses are added to the floor to accommodate all the patients. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal006_0.jpg,"Ayesha Ahmed, 3, is severely malnourished and only weighs about nine pounds. Her family was displaced by a military offensive on the western cost of Yemen. A lot of fighting happened in their village, Tahonan, on the border of Hodeida and Taiz. Nurses were taking care of Ayesha but there were no doctors in al-Sadaqa Hospital, in Aden, Yemen, on May 15, 2018. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal007_0.jpg,"Food stands in the Souk al Meleh, in the old city of Sanaa, Yemen. In the capital, Sanaa, as well as in towns across north Yemen, there is no lack of food in the markets. But war and inflation have pushed food costs beyond the reach of many people. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal008_0.jpg,"Shakir Jubran al-Musabi, 11, sits inside a hut where a newlywed couple lives in Alraqqah, a remote village in Hajjah province. On April 23, 2018, 20 people at a wedding party died in an airstrike by the Saudi-led coalition fighting Houthi rebels. Shakir and more than 60 other people, mostly children, were injured in the blast. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal009_0.jpg,"Students attend class at the Sir Alibdaa school in the al-Thawra hospital neighborhood of Taiz, Yemen. The school is a few yards away from a road exposed to Houthi sniper fire. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal010_0.jpg,"Militia members and civilians at the entrance of the military hospital in Mokha, Yemen. The city is a few miles south of a front line in the war between northern Shiite rebels and the government of President Abed Rabbo Mansour Hadi. Until last year, the town was ruled by Houthi rebels, but now it is controlled by Saudi-led coalition forces. (December 31, 2018) "
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal011_0.jpg,"Marwan Hareb Mohammed Abdullah, 10, is measured at a clinic in Aslam, Yemen. She is malnourished but will not be admitted to the clinic because of her age. In families, girls are often the last to be fed. (December 31, 2018)"
Feature Photography,2019,15993,Lorenzo Tugnoli of The Washington Post,yemenfinal012_0.jpg,"A severely malnourished Isam Amar Saleh, 2, is shown in Aslam, Yemen. He comes from Hajour, an area near the border with Saudi Arabia with an active front line. Isam's mother, Taz Taqwa Mohammed Wahaban, is pregnant and malnourished herself. Another of her sons, Jamil, died from malnutrition a few months earlier. (December 31, 2018)"
